EmployeeID,Name,Department,Salary,Email,Phone
1,Kashif Farooq,Finance,94580,kashif.farooq1@company.com,0358-7148771
2,Kashif Malik,HR,91336,kashif.malik2@company.com,0384-7769597
3,Ali Khan,Finance,135415,ali.khan3@company.com,0367-3327820
4,Ali Shah,Operations,49213,ali.shah4@company.com,0398-2288970
5,Fatima Shah,HR,43653,fatima.shah5@company.com,0320-1440896
6,Ahmed Shah,Marketing,59930,ahmed.shah6@company.com,0326-8999873
7,Usman Qureshi,Operations,73751,usman.qureshi7@company.com,0384-2538281
8,Bilal Raza,Support,114960,bilal.raza8@company.com,0367-9180460
9,Ali Butt,Support,63658,ali.butt9@company.com,0381-9914122
10,Bilal Qureshi,IT,51827,bilal.qureshi10@company.com,0381-8471293
11,Ali Malik,IT,110948,ali.malik11@company.com,0310-9423171
12,Usman Qureshi,Marketing,58437,usman.qureshi12@company.com,0354-9824220
13,Usman Shah,Support,112771,usman.shah13@company.com,0388-4696168
14,Zain Butt,Finance,131662,zain.butt14@company.com,0373-1313741
15,Ahmed Butt,Marketing,54280,ahmed.butt15@company.com,0334-5352414
16,Fatima Shah,Marketing,87174,fatima.shah16@company.com,0383-4303394
17,Bilal Butt,Support,114670,bilal.butt17@company.com,0369-1156393
18,Ahmed Raza,Support,45017,ahmed.raza18@company.com,0391-1486228
19,Fatima Chaudhry,IT,68885,fatima.chaudhry19@company.com,0348-5822469
20,Ayesha Farooq,Finance,44125,ayesha.farooq20@company.com,0316-5647362
21,Fatima Malik,HR,81402,fatima.malik21@company.com,0365-8329438
22,Ahmed Qureshi,Support,53862,ahmed.qureshi22@company.com,0315-2727207
23,Bilal Mirza,Support,65748,bilal.mirza23@company.com,0388-7739261
24,Hassan Farooq,HR,138462,hassan.farooq24@company.com,0382-7441236
25,Kashif Sheikh,Operations,78317,kashif.sheikh25@company.com,0315-2074102
26,Ali Butt,IT,46067,ali.butt26@company.com,0384-3136560
27,Hassan Sheikh,Finance,50488,hassan.sheikh27@company.com,0320-1307288
28,Zain Chaudhry,Operations,125934,zain.chaudhry28@company.com,0385-9369525
29,Zain Farooq,Marketing,118984,zain.farooq29@company.com,0385-9757498
30,Kashif Shah,HR,115352,kashif.shah30@company.com,0395-7810125
31,Bilal Mirza,Finance,98697,bilal.mirza31@company.com,0374-1126843
32,Usman Chaudhry,IT,93980,usman.chaudhry32@company.com,0370-4287512
33,Ahmed Chaudhry,Marketing,55422,ahmed.chaudhry33@company.com,0359-5600784
34,Zain Malik,Operations,140282,zain.malik34@company.com,0361-5377425
35,Usman Chaudhry,Marketing,145177,usman.chaudhry35@company.com,0345-8835875
36,Ahmed Chaudhry,Finance,100309,ahmed.chaudhry36@company.com,0335-2332610
37,Bilal Shah,Marketing,136110,bilal.shah37@company.com,0349-7648815
38,Usman Chaudhry,IT,64217,usman.chaudhry38@company.com,0357-8720819
39,Zain Chaudhry,IT,145191,zain.chaudhry39@company.com,0311-8912479
40,Ali Sheikh,Finance,131911,ali.sheikh40@company.com,0343-6990364
41,Ahmed Raza,Support,137383,ahmed.raza41@company.com,0349-6569633
42,Fatima Sheikh,IT,47271,fatima.sheikh42@company.com,0377-3842314
43,Usman Khan,HR,148784,usman.khan43@company.com,0374-3565813
44,Kashif Farooq,Operations,102623,kashif.farooq44@company.com,0389-1809701
45,Ayesha Khan,HR,142130,ayesha.khan45@company.com,0346-9598250
46,Ayesha Qureshi,Operations,45573,ayesha.qureshi46@company.com,0384-9672743
47,Bilal Sheikh,HR,48964,bilal.sheikh47@company.com,0325-1963957
48,Kashif Raza,IT,127816,kashif.raza48@company.com,0331-5515745
49,Ali Shah,Support,113264,ali.shah49@company.com,0317-8132429
50,Hassan Malik,HR,113381,hassan.malik50@company.com,0381-5877706
